event_ID,event_year,event_time,event_state,latitude,longitude,phase_group,far_part,crew_cat,crew_age,crew_sex,med_certf,total_fatal,probable_cause,acft_make,acft_model,wx_cond,wind_speed,visibility,temperature
20080116X00063,2008,1743,AK,057452N,0152287W,350,135,PLT,50,M,CL1,6,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - F,PIPER,PA-31-350,VMC,17,10,25
20080117X00067,2008,1508,HI,021512N,1591927W,502,135,PLT,38,M,CL1,1,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C,Hawker Beechcraft Corporation,1900C,VMC,23,10,68
20080118X00073,2008,329,CA,037378N,1222229W,200,121,CPLT,36,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Light condition-Dark-Not specified,"Bombardier, Inc.",CL-600-2C10,VMC,,10,52
20080118X00074,2008,1839,AK,604647N,1615017W,551,135,PLT,40,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Light condition-(general)-Contributed to outcome - F,Cessna,208B,VMC,17,10,30
20080122X00088,2008,2345,NE,040515N,0964555W,253,121,CPLT,,M,CL1,0,Aircraft-Aircraft systems-Hydraulic power system-(general)-Failure - F,Boeing,737-2H4,VMC,6,10,37
20080125X00103,2008,1249,MI,421245N,0832112W,500,121,CPLT,46,M,CL1,0,Aircraft-Aircraft power plant-Power plant-Engine cowling system-Failure - C,Airbus Industrie,A319-114,VMC,15,10,39
20080129X00119,2008,443,OK,361333N,0955322W,350,135,PLT,31,M,CL1,1,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-(general)-Not attained/maintained - C,AERO COMMANDER,500B,IMC,18,3,32
20080212X00178,2008,122,FL,264059N,0080544W,402,121,CPLT,41,M,CL1,0,Aircraft-Aircraft structures-Windows-windshield system-Flight compartment windows-Damaged/degraded - C,Boeing,B757-200,VMC,5,10,72
20080220X00214,2008,1359,CO,395142N,1044023W,404,121,CPLT,25,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Not specified - C,de Havilland,DHC-8-202,VMC,12,10,18
20080221X00224,2008,230,IL,412732N,0903043W,402,135,PLT,47,M,CL1,0,Aircraft-Aircraft systems-Flight control system-TE flap control system-Malfunction - C,Hawker Beechcraft Corp.,99,VMC,10,10,7
